user,product,timestamp
u01,i015,2024-01-24T10:27
u01,i016,2024-02-06T14:17
u01,i009,2024-02-09T15:08
u01,i014,2024-02-23T01:42
u01,i040,2024-03-03T13:53
u01,i011,2024-03-09T01:00
u01,i013,2024-03-15T04:05
u01,i049,2024-03-19T23:54
u01,i012,2024-03-25T04:47
u01,i048,2024-04-06T13:50
u01,i017,2024-04-20T17:52
u01,i018,2024-04-28T12:10
u01,i008,2024-05-05T12:12
u01,i001,2024-05-09T17:44
u02,i001,2024-01-14T21:35
u02,i015,2024-01-25T00:18
u02,i016,2024-02-08T02:43
u02,i009,2024-02-16T20:01
u02,i017,2024-02-27T00:06
u02,i019,2024-03-03T11:18
u02,i018,2024-03-10T23:25
u02,i004,2024-03-15T12:05
u02,i051,2024-03-22T20:45
u02,i020,2024-04-01T08:35
u02,i003,2024-04-10T00:01
u02,i007,2024-04-16T09:11
u02,i031,2024-04-29T10:24
u02,i002,2024-05-01T19:24
u03,i001,2024-01-18T13:46
u03,i002,2024-01-27T20:46
u03,i016,2024-01-30T03:30
u03,i046,2024-02-03T20:58
u03,i053,2024-02-06T04:53
u03,i012,2024-02-10T01:33
u03,i005,2024-02-24T09:23
u03,i003,2024-03-08T14:44
u03,i033,2024-03-18T09:36
u03,i051,2024-03-30T11:49
u03,i017,2024-04-02T17:56
u03,i052,2024-04-12T02:05
u03,i041,2024-04-15T06:36
u03,i015,2024-04-23T02:13
u04,i001,2024-01-29T01:11
u04,i002,2024-02-04T09:28
u04,i009,2024-02-06T21:53
u04,i049,2024-02-12T07:40
u04,i050,2024-02-24T09:12
u04,i005,2024-03-04T12:05
u04,i054,2024-03-15T15:23
u04,i003,2024-03-29T03:06
u04,i051,2024-03-31T06:44
u04,i018,2024-04-09T13:39
u04,i052,2024-04-14T14:56
u04,i004,2024-04-23T11:19
u04,i016,2024-05-06T00:32
u05,i002,2024-01-09T05:30
u05,i015,2024-01-21T15:37
u05,i016,2024-01-25T02:44
u05,i041,2024-01-27T20:27
u05,i019,2024-02-05T04:14
u05,i004,2024-02-17T04:24
u05,i008,2024-02-25T14:40
u05,i011,2024-03-07T03:18
u05,i018,2024-03-15T07:57
u05,i005,2024-03-19T23:49
u05,i010,2024-03-29T19:34
u05,i058,2024-04-03T20:54
u05,i038,2024-04-05T23:16
